parameter_file,fusion_method,target,atlas,dice,hd,hd95,recall,fpr,fnr,NrOfAtlases
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p107,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p115,0.0012961827231503162,35.327701568603516,29.089397430419922,0.0025091606664410307,0.058788421241307814,0.9974908329162683,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p127,0.7291416454969347,17.671838760375977,7.975250244140625,0.839438790145574,0.021449161173608813,0.1605612069435992,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p119,0.8749832063196815,17.25027084350586,6.039605617523193,0.8138282212049892,0.0033325502595214812,0.18617177687266215,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p125,0.8761203785591974,14.023423194885254,4.7447935581205005,0.9058098948028532,0.009245119056413108,0.09419010281095619,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p108,0.8624184664988287,20.227497100830078,5.549976825714111,0.8288351948300754,0.006221872682762442,0.17116480310923743,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p117,0.7779725495141554,36.83986282348633,8.595097732543945,0.935233824351071,0.02008332432797375,0.06476617251072897,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p116,0.8974201450712965,10.33992862701416,3.554741144180298,0.8874890990179627,0.005662928030690977,0.11251089879676558,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p102,0.851591445912028,24.66705322265625,8.393905639648438,0.9008814229946481,0.011709217165133928,0.09911857451192836,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p109,0.8306645978710409,22.623497009277344,8.660945987701407,0.7613840318891014,0.005338719210538077,0.23861596624893686,
['Par0001translation.txt', 'Par0001bspline16.txt'],STAPLE,p128,p120,0.9057020948891067,19.176671981811523,3.2825541496276855,0.8953419289643549,0.005128345569711877,0.10465806885203868,
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.8449246143816312,19.537229537963867,5.730771064758301,0.8603243113140819,0.010375275183786496,0.1396756863697253,1.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.0017189344327210065,57.18233871459961,41.15957889556885,0.052469128761523244,0.05766339250216441,0.9475307370463315,2.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.7136219701848189,20.206283569335938,8.114786148071289,0.8844689554833575,0.024113525001915513,0.11553104121188444,3.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.7287207090040291,20.609336853027344,8.148897171020508,0.9486502239814433,0.02442751131712894,0.051349772434931135,4.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.87238547616771,18.347896575927734,5.258935928344727,0.9374677350129109,0.011184539404561404,0.06253226241892362,5.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.867930859408538,20.37282943725586,5.410392761230469,0.9602932580930107,0.012605075551501806,0.039706739196631737,6.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.8832912266238601,20.37282943725586,4.83372688293457,0.9467238438090078,0.010454411734552463,0.05327615363529078,7.0
['Par0001translation.txt', 'Par0001bspline16.txt'],itkvoting,p128,fused_atlas,0.8806666406593676,20.37282943725586,4.926009178161621,0.9574600400035167,0.011200742342383259,0.042539957372018065,8.0
