parameter_file,target,atlas,similarity,dice,hd,hd95,recall,fpr,fnr
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p128,p120,least,0.8954108060681767,18.33831787109375,4.026470184326172,0.882753526856127,0.005612433732296179,0.11724647097232037
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p128,p108,middle,0.8888728229910068,13.147375106811523,3.6927053928375244,0.8593570363012123,0.004886298792792188,0.14064296161246834
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p128,p107,most,0.8367281523343154,22.278247833251953,6.253049850463867,0.8333322231901366,0.009785416883358551,0.16666777459327137
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p127,p120,least,0.6521936696434899,13.602892875671387,8.976941108703613,0.5753049237264362,0.006924342484408996,0.4246950726293951
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p127,p108,middle,0.25406477368402275,29.21042823791504,21.9102840423584,0.1911411865709011,0.017736646426070694,0.8088588110225975
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p127,p107,most,0.45392227108423333,39.305850982666016,25.347032356262208,0.3770085579451504,0.012106893713630197,0.6229914389023141
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p125,p120,least,0.7857024518833752,19.622312545776367,7.529309272766113,0.6944738311780533,0.0031276374322408854,0.30552616567313384
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p125,p102,middle,0.7523906498075598,19.39130401611328,9.003454208374023,0.7938226433415317,0.009212655130409605,0.20617735210558433
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p125,p107,most,0.8480225413853681,12.404985427856445,4.059166431427002,0.803887416211466,0.0033443552166807873,0.1961125801142248
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p120,p128,least,0.8902530709869887,21.01600456237793,4.221550464630127,0.8472337713806457,0.002812095514798702,0.15276622591901626
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p120,p107,middle,0.7693121813452968,27.195735931396484,7.258815765380859,0.7120883241125593,0.0074219258424386755,0.287911673342905
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p120,p117,most,0.688836260612169,25.558090209960938,9.705033779144287,0.7716050498425941,0.016875710249575373,0.22839494644981612
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p119,p109,least,0.6383968745451991,43.26657485961914,26.07511768341064,0.5517673284021645,0.011096951838884348,0.4482326694156778
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p119,p125,middle,0.7600177359001735,14.011458396911621,7.529308319091797,0.8611237473224896,0.014244300583894105,0.1388762488856674
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p119,p107,most,0.7820238644297964,26.05665397644043,9.958959722518921,0.8022021605821554,0.01063856370715951,0.1977978362682978
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p117,p128,least,0.6013782905636029,42.44858169555664,18.942106246948246,0.4784596776076874,0.004983033118685952,0.5215403193479595
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p117,p109,middle,0.5959993067426802,41.75764846801758,23.314997482299784,0.4665936395754982,0.004588656229664872,0.5334063575112412
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p117,p116,most,0.39455209271355685,60.34255599975586,46.02567443847656,0.26736072950306833,0.006660417932331759,0.7326392686675607
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p116,p120,least,0.9068450176539093,10.12353801727295,3.4247355461120605,0.8952027855051486,0.0059360564237114725,0.10479721264856216
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p116,p127,middle,0.0,66.5075912475586,58.25999374389649,0.0,0.07070844983250645,0.9999999966395027
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p116,p102,most,0.8632298739951717,18.92966651916504,4.367316722869873,0.902823461343248,0.012547543666998161,0.09717653658797766
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p115,p116,least,0.12987951767922132,56.18101501464844,45.01276779174805,0.07909395915291186,0.015397046349392624,0.9209060395561375
"['Par0001translation.txt', 'Par0001affine.txt', 'Par0001bspline16.txt']",p115,p128,middle,0.0,82.5126953125,51.67326869964596,0.0,0.02295085621568459,0.9999999975277144
