1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.112769	83.006550	0.024377	345.0
1	-0.170592	82.759751	0.011863	1.7
2	-0.083103	82.514899	0.018063	1.5
3	-0.210507	82.271970	0.009101	1.5
4	-0.064239	82.030938	0.008694	1.5
5	-0.143001	81.791781	0.021703	1.4
6	-0.176014	81.554474	0.011838	1.4
7	-0.113066	81.318994	0.022678	1.5
8	-0.344616	81.085318	0.042718	1.4
9	-0.075675	80.853424	0.007460	1.4
10	-0.279135	80.623291	0.009172	1.4
11	-0.100406	80.394896	0.023739	1.6
12	-0.278868	80.168219	0.011241	1.5
13	-0.321874	79.943237	0.045519	1.7
14	-0.217360	79.719932	0.018177	1.8
15	-0.339640	79.498282	0.013540	1.8
16	-0.238473	79.278268	0.026678	1.7
17	-0.255116	79.059871	0.014317	1.5
18	-0.305599	78.843070	0.044290	1.5
19	-0.236980	78.627848	0.044043	1.5
20	-0.185438	78.414185	0.030661	1.5
21	-0.133289	78.202063	0.028903	1.4
22	-0.271205	77.991465	0.032853	1.5
23	-0.158171	77.782372	0.033886	1.5
24	-0.238922	77.574768	0.013254	1.6
25	-0.207331	77.368635	0.022583	1.8
26	-0.272169	77.163955	0.017614	1.5
27	-0.207293	76.960714	0.037193	1.5
28	-0.101039	76.758894	0.009161	1.5
29	-0.352235	76.558479	0.048101	1.5
30	-0.162382	76.359453	0.016220	1.5
31	-0.241446	76.161801	0.023521	1.6
32	-0.145982	75.965507	0.008674	1.9
33	-0.174029	75.770557	0.010628	1.7
34	-0.133464	75.576936	0.020922	2.0
35	-0.196296	75.384628	0.023177	1.8
36	-0.423255	75.193619	0.027877	2.0
37	-0.436713	75.003896	0.029247	2.4
38	-0.217402	74.815444	0.032285	2.4
39	-0.098137	74.628249	0.017285	2.7
40	-0.131946	74.442298	0.018217	3.0
41	-0.082906	74.257577	0.010166	3.2
42	-0.182490	74.074074	0.015541	4.5
43	-0.409442	73.891775	0.053741	4.6
44	-0.302964	73.710668	0.042382	3.6
45	-0.189289	73.530739	0.015902	4.0
46	-0.125560	73.351977	0.019250	2.7
47	-0.214638	73.174369	0.007525	3.6
48	-0.304950	72.997904	0.029003	4.5
49	-0.198239	72.822568	0.019295	4.5
50	-0.208112	72.648351	0.009315	3.8
51	-0.263677	72.475242	0.016617	3.2
52	-0.176910	72.303227	0.008919	3.8
53	-0.215996	72.132298	0.030594	6.2
54	-0.365182	71.962441	0.026585	7.0
55	-0.268590	71.793647	0.015918	6.0
56	-0.336710	71.625905	0.033746	4.4
57	-0.243358	71.459204	0.010436	6.1
58	-0.153818	71.293533	0.017421	4.5
59	-0.195068	71.128883	0.012849	45.6
60	-0.353705	70.965243	0.031796	38.5
61	-0.184737	70.802602	0.014835	6.7
62	-0.154632	70.640953	0.019830	3.3
63	-0.315121	70.480283	0.015764	5.7
64	-0.229701	70.320584	0.033412	4.4
65	-0.213783	70.161847	0.014428	9.5
66	-0.089388	70.004062	0.020189	4.3
67	-0.153938	69.847219	0.015091	7.8
68	-0.490332	69.691310	0.029836	5.8
69	-0.098501	69.536325	0.018418	4.9
70	-0.411284	69.382257	0.031709	4.2
71	-0.348417	69.229095	0.020345	4.6
72	-0.187553	69.076831	0.018367	4.5
73	-0.032469	68.925458	0.009078	6.5
74	-0.069077	68.774965	0.013327	3.5
75	-0.301841	68.625346	0.029049	3.0
76	-0.038373	68.476591	0.008546	2.7
77	-0.201256	68.328694	0.009863	2.7
78	-0.200031	68.181645	0.012329	3.3
79	-0.290589	68.035437	0.016222	5.7
80	-0.179848	67.890062	0.017767	5.7
81	-0.156385	67.745512	0.013517	4.7
82	-0.223869	67.601780	0.010875	4.3
83	-0.152519	67.458859	0.017242	3.1
84	-0.169953	67.316741	0.016577	3.1
85	-0.192000	67.175418	0.023556	3.0
86	-0.115050	67.034883	0.011893	3.2
87	-0.230214	66.895130	0.024834	3.4
88	-0.202349	66.756151	0.019836	2.3
89	-0.047333	66.617940	0.011676	2.4
90	-0.285054	66.480489	0.018923	2.8
91	-0.279213	66.343791	0.022394	2.5
92	-0.120636	66.207841	0.025397	3.1
93	-0.193283	66.072631	0.019284	3.2
94	-0.271950	65.938154	0.007881	3.7
95	-0.288442	65.804405	0.024716	3.4
96	-0.154211	65.671378	0.022824	4.4
97	-0.208971	65.539064	0.023958	5.3
98	-0.325229	65.407460	0.065516	4.8
99	-0.031588	65.276557	0.008934	3.3
100	-0.243515	65.146352	0.017461	3.7
101	-0.266928	65.016836	0.017534	3.4
102	-0.271097	64.888005	0.027115	3.2
103	-0.211694	64.759852	0.020394	2.9
104	-0.297440	64.632372	0.027363	3.4
105	-0.178105	64.505558	0.012131	2.9
106	-0.260281	64.379407	0.025026	3.7
107	-0.286704	64.253911	0.027029	3.3
108	-0.222873	64.129065	0.017222	2.2
109	-0.157014	64.004864	0.012749	2.5
110	-0.094058	63.881302	0.011113	2.4
111	-0.089396	63.758375	0.020120	2.4
112	-0.175259	63.636076	0.022219	2.4
113	-0.327501	63.514401	0.010917	2.8
114	-0.216175	63.393344	0.019581	2.7
115	-0.127915	63.272901	0.008713	2.4
116	-0.236770	63.153066	0.014083	2.1
117	-0.146232	63.033834	0.011540	2.1
118	-0.247957	62.915201	0.033192	2.2
119	-0.191446	62.797161	0.029488	2.0
120	-0.233536	62.679710	0.030164	2.0
121	-0.243102	62.562843	0.013537	2.4
122	-0.306811	62.446555	0.045035	2.6
123	-0.186781	62.330841	0.016396	2.9
124	-0.414942	62.215698	0.028286	2.2
125	-0.257233	62.101120	0.016008	2.5
126	-0.024781	61.987104	0.013118	2.3
127	-0.332774	61.873643	0.014630	3.0
128	-0.250593	61.760735	0.006080	2.5
129	-0.245659	61.648375	0.011064	2.8
130	-0.147466	61.536558	0.007188	2.5
131	-0.186365	61.425280	0.015907	2.5
132	-0.101933	61.314537	0.006478	2.2
133	-0.113753	61.204325	0.012926	3.4
134	-0.158226	61.094640	0.016467	3.1
