1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
0	-0.318039	-0.318039	0.000000	3610.514754	0.003260	0.003260	10.3	1663.3
1	-0.306101	-0.306101	0.000000	3610.514754	0.003459	0.003459	10.4	11.3
2	-0.308731	-0.308731	0.081904	3596.487715	0.003417	0.003417	12.1	12.9
3	-0.319089	-0.319089	0.000000	3610.514754	0.003230	0.003230	11.2	12.3
4	-0.323966	-0.323966	1.000000	3446.400447	0.003392	0.003392	10.6	11.5
5	-0.319958	-0.319958	0.076606	3597.391825	0.003260	0.003260	10.9	11.6
6	-0.318871	-0.318871	1.076585	3434.444637	0.003352	0.003352	10.5	11.3
7	-0.317179	-0.317179	2.076481	3285.631344	0.003369	0.003369	11.3	12.1
8	-0.326201	-0.326201	1.153173	3422.571131	0.003852	0.003852	11.0	11.8
9	-0.333546	-0.333546	2.153173	3274.748145	0.003686	0.003686	12.5	13.3
10	-0.329883	-0.329883	3.153173	3139.165621	0.003442	0.003442	11.6	12.5
11	-0.315342	-0.315342	4.153173	3014.363647	0.003837	0.003837	10.8	11.6
12	-0.320128	-0.320128	5.153173	2899.105599	0.003938	0.003938	11.0	11.9
13	-0.316114	-0.316114	4.232977	3004.830157	0.003542	0.003542	11.0	11.9
14	-0.317197	-0.317197	5.232977	2890.286154	0.003548	0.003548	11.0	11.8
15	-0.315874	-0.315874	4.309695	2995.721934	0.003234	0.003234	10.9	11.6
16	-0.322294	-0.322294	3.386324	3109.152874	0.003457	0.003457	10.6	11.4
17	-0.316897	-0.316897	2.464114	3231.351936	0.003404	0.003404	11.0	12.1
18	-0.309091	-0.309091	1.542897	3363.401265	0.003894	0.003894	11.7	12.6
19	-0.310757	-0.310757	2.542897	3220.538592	0.003372	0.003372	11.8	13.0
20	-0.332463	-0.332463	3.272858	3123.686961	0.003298	0.003298	12.3	13.4
21	-0.310219	-0.310219	2.349464	3247.218450	0.003641	0.003641	11.2	12.2
22	-0.335480	-0.335480	1.463070	3375.353780	0.003209	0.003209	11.4	12.6
23	-0.347811	-0.347811	2.454771	3232.639150	0.003558	0.003558	11.8	12.9
24	-0.315929	-0.315929	1.700133	3340.104272	0.003405	0.003405	11.9	12.9
25	-0.329865	-0.329865	0.786848	3480.118315	0.003963	0.003963	11.9	12.8
26	-0.298485	-0.298485	1.786837	3327.395147	0.003392	0.003392	11.5	12.4
27	-0.335355	-0.335355	2.786837	3187.511261	0.003785	0.003785	11.2	12.4
28	-0.337383	-0.337383	3.786837	3058.914325	0.004044	0.004044	11.9	13.1
29	-0.329681	-0.329681	4.786837	2940.291252	0.003278	0.003278	11.2	12.3
30	-0.334481	-0.334481	5.719581	2837.649615	0.003613	0.003613	12.5	13.4
31	-0.350703	-0.350703	5.406524	2871.290784	0.003378	0.003378	11.7	12.6
32	-0.329500	-0.329500	6.406524	2766.524131	0.003938	0.003938	11.0	12.2
33	-0.331568	-0.331568	5.489047	2862.345717	0.003823	0.003823	11.5	12.8
34	-0.340806	-0.340806	6.488997	2758.223993	0.003666	0.003666	11.2	12.4
35	-0.335812	-0.335812	5.565602	2854.097132	0.003744	0.003744	11.5	12.4
36	-0.342634	-0.342634	4.642208	2956.875178	0.003391	0.003391	11.7	12.6
37	-0.365305	-0.365305	5.642205	2845.890944	0.003952	0.003952	11.8	12.6
38	-0.341326	-0.341326	5.673948	2842.504273	0.003146	0.003146	12.2	13.5
39	-0.349727	-0.349727	5.182872	2895.817108	0.003430	0.003430	12.2	13.6
40	-0.359503	-0.359503	4.260270	3001.583511	0.003561	0.003561	11.6	12.9
41	-0.318701	-0.318701	3.337093	3115.442364	0.003078	0.003078	11.9	12.8
42	-0.341315	-0.341315	4.337093	2992.482623	0.003457	0.003457	11.6	12.7
43	-0.315431	-0.315431	3.413705	3105.665786	0.003510	0.003510	12.0	13.4
44	-0.315342	-0.315342	4.410948	2983.785204	0.003185	0.003185	11.4	12.5
45	-0.327175	-0.327175	5.410592	2870.848588	0.003377	0.003377	11.2	12.1
46	-0.323555	-0.323555	6.410238	2766.149298	0.003319	0.003319	12.3	13.5
47	-0.340952	-0.340952	7.363450	2673.187119	0.003424	0.003424	12.2	13.3
48	-0.339158	-0.339158	8.363450	2582.149209	0.003619	0.003619	11.7	13.0
49	-0.358431	-0.358431	7.440254	2665.968129	0.003917	0.003917	12.1	13.4
50	-0.342964	-0.342964	8.440254	2575.412926	0.003425	0.003425	11.2	12.5
51	-0.338687	-0.338687	9.440249	2490.807793	0.003110	0.003110	12.0	13.1
52	-0.339073	-0.339073	10.440249	2411.584254	0.004607	0.004607	12.2	13.2
53	-0.348007	-0.348007	9.516855	2484.555162	0.003368	0.003368	12.9	14.1
54	-0.341517	-0.341517	10.516844	2405.723398	0.003422	0.003422	12.0	13.4
55	-0.330085	-0.330085	11.516844	2331.739488	0.003152	0.003152	11.5	12.4
56	-0.328243	-0.328243	12.516844	2262.170304	0.004026	0.004026	11.9	12.8
57	-0.357911	-0.357911	13.516844	2196.632149	0.003535	0.003535	10.9	11.8
58	-0.377058	-0.377058	14.516844	2134.784533	0.003444	0.003444	11.6	12.8
59	-0.338218	-0.338218	13.593450	2191.767783	0.003107	0.003107	11.8	13.0
60	-0.355168	-0.355168	12.670063	2251.876090	0.003798	0.003798	11.4	12.2
61	-0.360977	-0.360977	13.667969	2187.056612	0.003748	0.003748	11.1	12.0
62	-0.329590	-0.329590	14.667969	2125.739506	0.003683	0.003683	11.7	12.6
63	-0.352625	-0.352625	13.744574	2182.234520	0.003521	0.003521	13.0	14.0
64	-0.322470	-0.322470	14.744574	2121.183730	0.003883	0.003883	11.6	12.8
65	-0.358446	-0.358446	15.744571	2063.456140	0.003785	0.003785	12.1	13.1
66	-0.356170	-0.356170	16.744571	2008.787188	0.003264	0.003264	11.6	12.9
67	-0.355278	-0.355278	17.744165	1956.960720	0.003089	0.003089	11.8	13.0
68	-0.357541	-0.357541	18.743988	1907.730274	0.003570	0.003570	11.0	11.9
69	-0.334631	-0.334631	19.743988	1860.907900	0.003508	0.003508	11.7	12.6
70	-0.351172	-0.351172	20.743894	1816.332953	0.003690	0.003690	11.6	12.5
71	-0.342144	-0.342144	21.743893	1773.839574	0.003481	0.003481	10.8	11.8
72	-0.330826	-0.330826	20.968674	1806.604850	0.003103	0.003103	11.6	12.7
73	-0.345491	-0.345491	21.968232	1764.578311	0.003753	0.003753	11.8	13.1
74	-0.352900	-0.352900	22.968232	1724.445284	0.003507	0.003507	11.8	12.9
75	-0.347769	-0.347769	23.533176	1702.569092	0.003241	0.003241	11.5	12.5
76	-0.344601	-0.344601	22.609783	1738.619280	0.003519	0.003519	11.2	12.2
77	-0.348518	-0.348518	23.609781	1699.645420	0.003317	0.003317	12.7	14.0
78	-0.338129	-0.338129	22.686621	1735.561309	0.003472	0.003472	12.7	14.1
79	-0.366614	-0.366614	21.763233	1773.037378	0.003916	0.003916	12.9	14.1
80	-0.336948	-0.336948	20.840258	1812.149665	0.003885	0.003885	13.1	14.3
