1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.332747	0.000000	0.488339	0.047227	78.2
1	-0.207357	0.009826	0.488110	0.022745	2.5
2	-0.223289	0.019652	0.487882	0.028771	2.9
3	-0.219428	0.029478	0.487654	0.025000	2.6
4	-0.133523	0.039305	0.487426	0.016038	2.4
5	-0.222745	0.049131	0.487199	0.020718	2.2
6	-0.231980	0.058957	0.486972	0.008319	2.3
7	-0.179021	0.068783	0.486744	0.029334	3.1
8	-0.197959	0.078609	0.486518	0.016567	2.6
9	-0.244090	0.088435	0.486291	0.026610	2.3
10	-0.156584	0.098261	0.486064	0.018048	2.4
11	-0.138500	0.108088	0.485838	0.019458	2.3
12	-0.260690	0.117914	0.485612	0.023571	2.4
13	-0.235908	0.127740	0.485386	0.031943	2.4
14	-0.111039	0.137566	0.485161	0.015319	2.6
15	-0.186551	0.147392	0.484935	0.019696	2.4
16	-0.243174	0.157218	0.484710	0.029341	2.5
17	-0.258178	0.167044	0.484485	0.019271	2.2
18	-0.248564	0.176870	0.484260	0.013178	2.2
19	-0.148714	0.186697	0.484036	0.009992	2.4
20	-0.181115	0.196523	0.483811	0.037433	2.2
21	-0.122899	0.206349	0.483587	0.014440	2.3
22	-0.166497	0.216175	0.483363	0.013553	2.8
23	-0.202473	0.226001	0.483139	0.045520	2.6
24	-0.203556	0.235827	0.482916	0.018839	2.7
25	-0.133439	0.245653	0.482692	0.031593	2.2
26	-0.205512	0.255480	0.482469	0.024692	2.5
27	-0.128788	0.265306	0.482246	0.017093	2.3
28	-0.234158	0.275132	0.482024	0.040542	2.3
29	-0.135275	0.284958	0.481801	0.031162	2.7
30	-0.081442	0.294784	0.481579	0.024106	2.5
31	-0.247532	0.304610	0.481357	0.033579	2.4
32	-0.195805	0.314436	0.481135	0.020118	2.4
33	-0.353013	0.324263	0.480913	0.028400	2.2
34	-0.217482	0.334089	0.480691	0.017844	2.7
35	-0.232555	0.343915	0.480470	0.030067	2.3
36	-0.233110	0.353741	0.480249	0.040987	2.4
37	-0.146967	0.363567	0.480028	0.023408	2.2
38	-0.255392	0.373393	0.479807	0.060382	2.3
39	-0.271763	0.383219	0.479587	0.034905	2.9
40	-0.292368	0.393045	0.479367	0.032461	2.8
41	-0.139511	0.402872	0.479147	0.021148	2.6
42	-0.280996	0.412698	0.478927	0.034178	2.3
43	-0.171649	0.422524	0.478707	0.022860	2.6
44	-0.259069	0.432350	0.478488	0.072697	2.6
45	-0.260658	0.442176	0.478268	0.036158	2.5
46	-0.201871	0.452002	0.478049	0.024132	3.2
47	-0.137807	0.461828	0.477830	0.024881	2.4
48	-0.146318	0.471655	0.477612	0.048720	3.1
49	-0.259806	0.481481	0.477393	0.012373	2.6
50	-0.327365	0.491307	0.477175	0.052240	2.4
51	-0.220282	0.501133	0.476957	0.033630	2.3
52	-0.134725	0.510959	0.476739	0.015338	2.3
53	-0.250124	0.520785	0.476521	0.035183	2.8
54	-0.152803	0.530611	0.476304	0.021668	2.2
55	-0.260926	0.540438	0.476087	0.015006	2.4
56	-0.124566	0.550264	0.475870	0.037442	2.3
57	-0.100727	0.560090	0.475653	0.016409	2.3
58	-0.129755	0.569916	0.475436	0.030603	2.4
59	-0.272087	0.579742	0.475219	0.029981	2.2
60	-0.166230	0.589568	0.475003	0.023940	2.5
61	-0.131057	0.599394	0.474787	0.026313	2.3
62	-0.290479	0.609220	0.474571	0.039571	2.3
63	-0.172277	0.619047	0.474356	0.021256	2.9
64	-0.210064	0.628873	0.474140	0.029089	2.5
65	-0.176650	0.638699	0.473925	0.019285	2.6
66	-0.122516	0.648525	0.473710	0.011335	2.3
67	-0.261264	0.658351	0.473495	0.019885	2.4
68	-0.237368	0.668177	0.473280	0.023777	2.6
69	-0.145565	0.678003	0.473065	0.017167	2.4
70	-0.209257	0.687830	0.472851	0.033067	3.0
71	-0.238504	0.697656	0.472637	0.045332	2.3
72	-0.138812	0.707482	0.472423	0.013382	2.4
73	-0.176387	0.717308	0.472209	0.013641	2.3
74	-0.199386	0.727134	0.471996	0.040129	2.3
75	-0.185048	0.736960	0.471782	0.022410	2.4
76	-0.185999	0.746786	0.471569	0.021734	2.3
77	-0.080600	0.756613	0.471356	0.026511	2.4
78	-0.164984	0.766439	0.471143	0.030665	2.4
79	-0.178847	0.776265	0.470931	0.044115	2.4
80	-0.196256	0.786091	0.470718	0.021133	2.6
81	-0.176219	0.795917	0.470506	0.015018	2.3
82	-0.232378	0.805743	0.470294	0.023410	2.7
83	-0.214352	0.815569	0.470082	0.052410	2.2
84	-0.182234	0.825395	0.469871	0.015589	2.2
85	-0.201863	0.835222	0.469659	0.033573	2.4
86	-0.130321	0.845048	0.469448	0.023698	2.2
87	-0.217538	0.854874	0.469237	0.017081	2.6
88	-0.285669	0.864700	0.469026	0.013507	2.5
89	-0.170670	0.874526	0.468815	0.015499	2.2
90	-0.171033	0.884352	0.468605	0.042391	2.3
91	-0.125259	0.894178	0.468395	0.018229	2.2
92	-0.198101	0.904005	0.468184	0.017774	2.5
93	-0.159743	0.913831	0.467974	0.007406	2.2
94	-0.218705	0.923657	0.467765	0.020869	2.2
95	-0.268682	0.933483	0.467555	0.040051	2.9
96	-0.133964	0.943309	0.467346	0.027222	2.2
97	-0.140278	0.953135	0.467137	0.027740	2.3
98	-0.121677	0.962961	0.466928	0.027311	2.2
99	-0.131841	0.972788	0.466719	0.016971	2.2
100	-0.268889	0.982614	0.466510	0.040745	2.6
101	-0.187983	0.992440	0.466302	0.024631	2.2
102	-0.142463	1.002266	0.466094	0.023290	2.3
103	-0.201307	1.012092	0.465885	0.014574	2.8
104	-0.214085	1.021918	0.465678	0.009496	2.2
105	-0.160551	1.031744	0.465470	0.017822	2.4
106	-0.080292	1.041570	0.465262	0.045928	2.1
107	-0.091796	1.051397	0.465055	0.013585	2.3
108	-0.104576	1.061223	0.464848	0.013741	2.2
109	-0.125647	1.071049	0.464641	0.026017	2.1
110	-0.283817	1.080875	0.464434	0.018062	2.5
111	-0.186440	1.090701	0.464228	0.023689	2.4
112	-0.238766	1.100527	0.464021	0.024052	2.2
113	-0.157454	1.110353	0.463815	0.013744	2.2
114	-0.135687	1.120180	0.463609	0.015277	2.4
115	-0.225141	1.130006	0.463403	0.028464	2.4
116	-0.205462	1.139832	0.463197	0.007145	2.2
117	-0.248929	1.149658	0.462992	0.030796	2.2
118	-0.091520	1.159484	0.462787	0.017139	2.6
119	-0.096506	1.169310	0.462582	0.015532	2.2
120	-0.221853	1.179136	0.462377	0.023432	2.5
121	-0.096523	1.188963	0.462172	0.035107	2.6
122	-0.133798	1.198789	0.461967	0.056910	2.3
